date,max_lifespan,n_bars,total_persistence
2015-02-28,0.1285102367401123,3,0.20728161931037903
2015-03-31,0.1285102367401123,3,0.20728161931037903
2015-04-30,0.1285102367401123,4,0.3040054142475128
2015-05-31,0.3594737648963928,4,0.5667553842067719
2015-06-30,0.3594737648963928,4,0.5667553842067719
2015-07-31,0.1686972975730896,5,0.41010788083076477
2015-08-31,0.16858434677124023,6,0.5022545754909515
2015-09-30,0.16858434677124023,6,0.4943521320819855
2015-10-31,0.16858434677124023,6,0.4943521320819855
2015-11-30,0.16858434677124023,7,0.5012114942073822
2015-12-31,0.16858434677124023,7,0.5310354232788086
2016-01-31,0.16858434677124023,6,0.48349684476852417
2016-02-29,0.16858434677124023,7,0.427486389875412
2016-03-31,0.16858434677124023,8,0.3980882167816162
2016-04-30,0.16858434677124023,7,0.3924946188926697
2016-05-31,0.16858434677124023,7,0.3924946188926697
2016-06-30,0.16858434677124023,8,0.428900808095932
2016-07-31,0.16858434677124023,8,0.4312598407268524
2016-08-31,0.16858434677124023,7,0.41435134410858154
2016-09-30,0.16858434677124023,6,0.43076393008232117
2016-10-31,0.16858434677124023,5,0.46359625458717346
2016-11-30,0.16858434677124023,5,0.42476555705070496
2016-12-31,0.13700592517852783,4,0.31109699606895447
2017-01-31,0.13700592517852783,3,0.3051615059375763
2017-02-28,0.13700592517852783,2,0.17652574181556702
2017-03-31,0.13700592517852783,2,0.17652574181556702
2017-04-30,0.13700592517852783,2,0.17652574181556702
2017-05-31,0.13700592517852783,1,0.13700592517852783
2017-06-30,0.13700592517852783,1,0.13700592517852783
2017-07-31,0.13700592517852783,1,0.13700592517852783
2017-08-31,0.13700592517852783,1,0.13700592517852783
2017-09-30,0.13700592517852783,1,0.13700592517852783
2017-10-31,0.13700592517852783,1,0.13700592517852783
2017-11-30,0.13700592517852783,2,0.21637731790542603
2017-12-31,0.0793713927268982,2,0.156404048204422
2018-01-31,0.0793713927268982,2,0.11303070187568665
2018-02-28,0.0793713927268982,2,0.11412510275840759
2018-03-31,0.0793713927268982,3,0.11928176879882812
2018-04-30,0.0347537100315094,3,0.04582872986793518
2018-05-31,0.0347537100315094,3,0.04582872986793518
