,L,GDP,L_over_GDP,omega,M2
2021-04-30,530469.8083680763,23565.02725,22.510893059462784,26.290946992257297,20176.9
2021-05-31,563066.6676279742,23704.144500000002,23.75393331018439,27.519826964671957,20460.4
2021-06-30,482369.591689972,23843.26175,20.23085585972615,23.55573312025569,20477.8
2021-07-31,489564.81542086654,24190.18425,20.238159840426455,23.726927608325695,20633.3
2021-08-31,515893.0038392979,24397.9895,21.144898182667795,24.753873577402985,20840.9
2021-09-30,467627.59878033283,24605.79475,19.004775238171604,22.2881463600559,20981.0
2021-10-31,452202.6068982094,24922.78675,18.14414300592647,21.370027640908546,21160.6
2021-11-30,539069.2694389063,25031.9735,21.5352285124026,25.266305895756197,21335.5
2021-12-31,505829.1510041194,25141.16025,20.119562739914496,23.52857878475798,21498.5
2022-01-31,426452.8684787374,25403.083250000003,16.787445220010344,19.697501096010523,21650.1
2022-02-28,410802.60760998813,25555.8195,16.0747186217209,18.909036860879905,21725.2
2022-03-31,391259.6937354989,25708.55575,15.219046046003532,17.958236658932716,21787.2
2022-04-30,378926.7251141553,25980.045000000002,14.585299029087722,17.40639269406393,21769.4
2022-05-31,323820.75300813006,26098.798000000003,12.407496812999971,14.908943089430894,21719.9
2022-06-30,340404.36789094383,26217.551,12.983835442560743,15.721976209082227,21651.5
2022-07-31,368597.8865131579,26444.8565,13.938358353850697,17.023026315789473,21652.9
2022-08-31,382847.0253807107,26553.409,14.417999036609979,17.692945198383924,21638.4
2022-09-30,406521.43173809256,26661.961499999998,15.247243971081895,18.875753097646925,21536.7
2022-10-31,367489.9239815204,26881.99675,13.670484651833775,17.123057538849224,21461.7
2022-11-30,444087.4347316616,26993.4795,16.451655842725334,20.745254277009607,21406.7
2022-12-31,449940.9378406587,27104.96225,16.59994703887325,21.133016351617766,21290.9
2023-01-31,485792.74200426444,27294.8475,17.797965055648852,22.82871357498223,21279.9
2023-02-28,462690.673542387,27373.25,16.90302297105338,21.780135924645283,21243.7
2023-03-31,517264.49191425357,27451.6525,18.842745146735833,24.69349379465965,20947.4
2023-04-30,518774.3093922652,27666.25275,18.75115918588813,24.987443495730787,20761.4
2023-05-31,564448.2953981813,27802.4505,20.302105938402132,27.098374207770735,20829.6
2023-06-30,530370.8152202937,27938.648250000002,18.983410023077752,25.499332443257675,20799.4
2023-07-31,477878.816044907,28162.315000000002,16.96873343135701,22.9844462635949,20791.4
2023-08-31,463945.4671120839,28249.784,16.422973963697704,22.329224743693125,20777.5
2023-09-30,402006.3084023917,28337.253,14.186495367154738,19.37585230252806,20747.8
2023-10-31,470462.75142987876,28495.58175,16.510024450716074,22.69160375200183,20732.9
2023-11-30,511396.6274035555,28566.4415,17.90200670964059,24.649897206433668,20746.4
2023-12-31,558325.6946684006,28637.30125,19.496449396341095,26.871261378413525,20777.8
2024-01-31,518699.5984367367,28817.88175,17.99922710963087,24.885197850512945,20843.7
2024-02-29,511312.9225251076,28927.6025,17.675606629519596,24.43328550932568,20926.9
2024-03-31,541403.4541479693,29037.32325,18.64508823649815,25.814060522379474,20973.2
2024-04-30,547318.5038689121,29238.199,18.719296078014658,26.114019116977698,20958.8
2024-05-31,599342.8461632753,29329.354,20.43491466478516,28.513115959794067,21019.9
2024-06-30,575052.5039323865,29420.509000000002,19.545973998355585,27.295457213287946,21067.7
2024-07-31,638997.0506501548,29590.0435,21.595002070549672,30.292260061919503,21094.4
2024-08-31,671730.4534957493,29668.423000000003,22.641259142616015,31.70663621367847,21185.8
2024-09-30,779256.3915343916,29746.8025,26.196307705152226,36.63881927039822,21268.6
2024-10-31,801349.0537399154,29879.41475,26.819436071448333,37.56734582250787,21331.0
2024-11-30,779068.9388538525,29933.6475,26.026528803542984,36.31752125034275,21451.6
2024-12-31,754714.2479946524,29987.880250000002,25.16730898292327,35.12700534759358,21485.3
2025-01-31,788712.3476221499,30153.017,26.156996085073338,36.60325732899023,21547.6
2025-02-28,840877.4901639344,30263.921000000002,27.784816454019108,38.90573770491803,21613.2
2025-03-31,908765.2895546342,30374.825,29.91837120229118,41.891132807275646,21693.5
2025-04-30,1128523.6547298366,30638.803499999998,36.83315031312618,51.8253842497227,21775.5
2025-05-31,1123769.3900797998,30791.877999999997,36.495643106919296,51.46925363792834,21833.8
2025-06-30,1073932.1335403726,30944.9525,34.70459789978261,48.95149364093463,21938.7
2025-07-31,998628.4440458121,31184.141,32.023599561258145,45.35117979853732,22019.9
2025-08-31,1138405.359632211,31270.254999999997,36.40537500037052,51.542340204656675,22086.8
2025-09-30,1270307.0929124479,31356.369,40.51193213450345,57.29898749255509,22169.8
2025-10-31,1366522.0301260375,31442.483,43.4610087926592,61.41561635413464,22250.4
