date,window,USD/Equity_vol,USD/Equity_z,USD/Equity_ratio,USD/Equity_state,USD/Commodity_vol,USD/Commodity_z,USD/Commodity_ratio,USD/Commodity_state,Equity/Commodity_vol,Equity/Commodity_z,Equity/Commodity_ratio,Equity/Commodity_state
1987-02-19,post,0.015517,3.41,1.668,riot,0.011967,-1.68,0.529,freeze,0.014223,-1.98,0.577,freeze
1987-02-20,post,0.01387,2.5,1.491,riot,0.012119,-1.65,0.536,freeze,0.015267,-1.78,0.62,freeze
1987-02-23,post,0.013773,2.45,1.48,riot,0.014944,-1.21,0.661,freeze,0.015943,-1.65,0.647,freeze
1987-02-24,post,0.013723,2.42,1.475,riot,0.015433,-1.13,0.682,freeze,0.016299,-1.58,0.662,freeze
1987-02-25,post,0.012482,1.74,1.342,normal,0.015452,-1.13,0.683,freeze,0.016295,-1.58,0.661,freeze
1987-02-26,post,0.012235,1.61,1.315,normal,0.017612,-0.79,0.779,normal,0.019055,-1.06,0.773,freeze
1987-02-27,post,0.012075,1.52,1.298,normal,0.018507,-0.65,0.818,normal,0.019782,-0.92,0.803,normal
1987-03-02,post,0.011303,1.1,1.215,normal,0.018403,-0.66,0.814,normal,0.019775,-0.92,0.803,normal
1987-03-03,post,0.01069,0.76,1.149,normal,0.023577,0.15,1.042,normal,0.023968,-0.13,0.973,normal
1987-03-04,post,0.011012,0.94,1.184,normal,0.023559,0.15,1.042,normal,0.024072,-0.11,0.977,normal
1987-03-05,post,0.011084,0.98,1.191,normal,0.025241,0.41,1.116,normal,0.024844,0.04,1.008,normal
1987-03-06,post,0.011084,0.98,1.191,normal,0.025191,0.41,1.114,normal,0.024742,0.02,1.004,normal
1987-03-09,post,0.011055,0.96,1.188,normal,0.024957,0.37,1.103,normal,0.024864,0.04,1.009,normal
1987-03-10,post,0.010814,0.83,1.162,normal,0.024693,0.33,1.092,normal,0.024835,0.04,1.008,normal
1987-03-11,post,0.010025,0.4,1.078,normal,0.024706,0.33,1.092,normal,0.024588,-0.01,0.998,normal
1987-03-12,post,0.009946,0.35,1.069,normal,0.024139,0.24,1.067,normal,0.023705,-0.18,0.962,normal
1987-03-13,post,0.009494,0.1,1.02,normal,0.024125,0.24,1.067,normal,0.023626,-0.19,0.959,normal
1987-03-16,post,0.008757,-0.3,0.941,normal,0.024372,0.28,1.078,normal,0.023207,-0.27,0.942,normal
1987-03-17,post,0.008009,-0.71,0.861,normal,0.024627,0.32,1.089,normal,0.022514,-0.4,0.914,normal
1987-03-18,post,0.007897,-0.77,0.849,normal,0.02405,0.23,1.063,normal,0.022192,-0.46,0.901,normal
1987-03-19,post,0.007924,-0.76,0.852,normal,0.024179,0.25,1.069,normal,0.022421,-0.42,0.91,normal
