date,window,Au/USD_vol,Au/USD_z,Au/USD_ratio,Au/USD_state,Au/Equity_vol,Au/Equity_z,Au/Equity_ratio,Au/Equity_state,Au/Commodity_vol,Au/Commodity_z,Au/Commodity_ratio,Au/Commodity_state,USD/Equity_vol,USD/Equity_z,USD/Equity_ratio,USD/Equity_state,USD/Commodity_vol,USD/Commodity_z,USD/Commodity_ratio,USD/Commodity_state,Equity/Commodity_vol,Equity/Commodity_z,Equity/Commodity_ratio,Equity/Commodity_state
2020-02-03,baseline,0.006214,-1.01,0.871,freeze,0.010238,0.64,1.083,normal,0.014739,-0.44,0.89,normal,0.006902,1.45,1.387,normal,0.015583,-0.23,0.968,normal,0.015486,-0.21,0.971,normal
2020-02-04,baseline,0.006887,-0.27,0.966,normal,0.012434,2.43,1.315,riot,0.015369,-0.29,0.928,normal,0.007447,1.86,1.496,normal,0.015,-0.48,0.932,normal,0.015438,-0.23,0.968,normal
2020-02-05,baseline,0.006907,-0.25,0.969,normal,0.012348,2.36,1.306,riot,0.016984,0.1,1.026,normal,0.0075,1.9,1.507,normal,0.016939,0.37,1.052,normal,0.016552,0.28,1.038,normal
2020-02-06,baseline,0.006398,-0.81,0.897,normal,0.012026,2.1,1.272,riot,0.015418,-0.28,0.931,normal,0.007498,1.9,1.506,normal,0.013862,-0.98,0.861,normal,0.013243,-1.23,0.83,freeze
2020-02-07,baseline,0.006296,-0.92,0.883,normal,0.011977,2.06,1.266,riot,0.015274,-0.31,0.922,normal,0.007632,2.0,1.533,normal,0.013845,-0.99,0.86,normal,0.013257,-1.22,0.831,freeze
2020-02-10,baseline,0.006226,-1.0,0.873,normal,0.011885,1.98,1.257,normal,0.015414,-0.28,0.931,normal,0.007714,2.06,1.55,riot,0.013943,-0.95,0.866,normal,0.013551,-1.09,0.85,freeze
2020-02-11,baseline,0.00618,-1.05,0.867,freeze,0.011658,1.8,1.233,normal,0.016271,-0.07,0.983,normal,0.007583,1.96,1.523,normal,0.0145,-0.7,0.901,normal,0.013752,-1.0,0.862,normal
2020-02-12,baseline,0.006131,-1.1,0.86,freeze,0.011701,1.83,1.237,normal,0.017255,0.17,1.042,normal,0.007591,1.97,1.525,normal,0.015568,-0.23,0.967,normal,0.014541,-0.64,0.912,normal
2020-02-13,baseline,0.005965,-1.28,0.836,freeze,0.011759,1.88,1.243,normal,0.017257,0.17,1.042,normal,0.007581,1.96,1.523,normal,0.015826,-0.12,0.983,normal,0.014916,-0.47,0.935,normal
2020-02-14,baseline,0.00601,-1.23,0.843,freeze,0.01155,1.71,1.221,normal,0.016933,0.09,1.023,normal,0.007402,1.82,1.487,normal,0.015889,-0.09,0.987,normal,0.015254,-0.32,0.957,normal
2020-02-18,baseline,0.006192,-1.03,0.868,freeze,0.011942,2.03,1.263,riot,0.01694,0.09,1.023,normal,0.007534,1.92,1.513,normal,0.015895,-0.09,0.988,normal,0.015439,-0.23,0.968,normal
2020-02-19,baseline,0.00622,-1.0,0.872,freeze,0.011942,2.03,1.263,riot,0.017862,0.32,1.079,normal,0.007567,1.95,1.52,normal,0.017111,0.45,1.063,normal,0.016387,0.2,1.028,normal
2020-02-20,baseline,0.006234,-0.99,0.874,normal,0.012095,2.16,1.279,riot,0.017376,0.2,1.049,normal,0.007702,2.05,1.547,riot,0.016582,0.21,1.03,normal,0.01608,0.06,1.008,normal
2020-02-21,pre,0.008,0.96,1.122,normal,0.013468,3.28,1.424,riot,0.017147,0.14,1.036,normal,0.007755,2.09,1.558,riot,0.015901,-0.09,0.988,normal,0.015427,-0.24,0.967,normal
2020-02-24,pre,0.008656,1.68,1.214,normal,0.017187,6.32,1.817,riot,0.019802,0.79,1.196,normal,0.010646,4.27,2.139,riot,0.016953,0.38,1.053,normal,0.015048,-0.41,0.944,normal
2020-02-25,pre,0.009246,2.33,1.296,riot,0.017019,6.18,1.8,riot,0.019571,0.73,1.182,normal,0.01165,5.02,2.34,riot,0.017467,0.6,1.085,normal,0.015046,-0.41,0.944,normal
2020-02-26,pre,0.00921,2.29,1.291,riot,0.016477,5.74,1.742,riot,0.019453,0.71,1.175,normal,0.011322,4.78,2.274,riot,0.017871,0.78,1.11,normal,0.015521,-0.19,0.973,normal
2020-02-27,pre,0.009248,2.33,1.297,riot,0.01876,7.6,1.984,riot,0.020149,0.88,1.217,normal,0.013928,6.74,2.798,riot,0.018408,1.02,1.144,normal,0.015922,-0.01,0.998,normal
2020-02-28,pre,0.013666,7.19,1.916,riot,0.021402,9.76,2.263,riot,0.019535,0.73,1.18,normal,0.013755,6.61,2.763,riot,0.020436,1.91,1.27,normal,0.017753,0.82,1.113,normal
2020-03-02,pre,0.014868,8.51,2.085,riot,0.022303,10.5,2.358,riot,0.020738,1.02,1.252,normal,0.018808,10.41,3.778,riot,0.024232,3.58,1.505,riot,0.017642,0.77,1.106,normal
2020-03-03,pre,0.016411,10.21,2.301,riot,0.025405,13.03,2.686,riot,0.02046,0.95,1.236,normal,0.019518,10.95,3.921,riot,0.023504,3.26,1.46,riot,0.018031,0.95,1.131,normal
2020-03-04,pre,0.015697,9.43,2.201,riot,0.026269,13.74,2.778,riot,0.020267,0.9,1.224,normal,0.021482,12.42,4.315,riot,0.023531,3.27,1.462,riot,0.020883,2.24,1.31,riot
2020-03-05,pre,0.016169,9.95,2.267,riot,0.02789,15.07,2.949,riot,0.020217,0.89,1.221,normal,0.022141,12.92,4.448,riot,0.022891,2.99,1.422,riot,0.02093,2.27,1.312,riot
2020-03-06,pre,0.016249,10.03,2.278,riot,0.027956,15.12,2.956,riot,0.030678,3.44,1.853,riot,0.022124,12.91,4.444,riot,0.031353,6.71,1.948,riot,0.029364,6.1,1.841,riot
2020-03-09,pre,0.016328,10.12,2.289,riot,0.032253,18.63,3.41,riot,0.067651,12.46,4.086,riot,0.026286,16.04,5.28,riot,0.066288,22.09,4.118,riot,0.053068,16.88,3.328,riot
2020-03-10,pre,0.017674,11.6,2.478,riot,0.035761,21.5,3.781,riot,0.074668,14.17,4.509,riot,0.027643,17.06,5.553,riot,0.070786,24.07,4.398,riot,0.055326,17.91,3.469,riot
2020-03-11,pre,0.017923,11.88,2.513,riot,0.036078,21.76,3.815,riot,0.07423,14.07,4.483,riot,0.029289,18.3,5.884,riot,0.070692,24.03,4.392,riot,0.055396,17.94,3.474,riot
2020-03-12,pre,0.020615,14.84,2.891,riot,0.037832,23.19,4.0,riot,0.073526,13.89,4.441,riot,0.036765,23.93,7.386,riot,0.070596,23.99,4.386,riot,0.056834,18.59,3.564,riot
2020-03-13,pre,0.024806,19.45,3.478,riot,0.050939,33.9,5.386,riot,0.075363,14.34,4.551,riot,0.041922,27.81,8.421,riot,0.070376,23.89,4.372,riot,0.059094,19.62,3.706,riot
2020-03-16,pre,0.024888,19.54,3.49,riot,0.055475,37.61,5.866,riot,0.07579,14.45,4.577,riot,0.048469,32.74,9.737,riot,0.071092,24.2,4.417,riot,0.059935,20.0,3.758,riot
2020-03-17,pre,0.024972,19.63,3.501,riot,0.056445,38.4,5.968,riot,0.077311,14.82,4.669,riot,0.050266,34.09,10.098,riot,0.07193,24.57,4.469,riot,0.065291,22.44,4.094,riot
