date,window,USD/Equity_vol,USD/Equity_z,USD/Equity_ratio,USD/Equity_state,USD/Commodity_vol,USD/Commodity_z,USD/Commodity_ratio,USD/Commodity_state,Equity/Commodity_vol,Equity/Commodity_z,Equity/Commodity_ratio,Equity/Commodity_state
1991-01-03,regime,0.01009,-1.23,0.795,freeze,0.03405,-1.39,0.695,freeze,0.032371,-1.81,0.576,freeze
1991-01-04,regime,0.00989,-1.32,0.779,freeze,0.031819,-1.6,0.65,freeze,0.028137,-2.13,0.501,freeze
1991-01-07,regime,0.012067,-0.29,0.951,normal,0.036054,-1.21,0.736,freeze,0.036918,-1.46,0.657,freeze
1991-01-08,regime,0.011894,-0.38,0.937,normal,0.03581,-1.23,0.731,freeze,0.036881,-1.47,0.656,freeze
1991-01-09,regime,0.011837,-0.4,0.933,normal,0.036022,-1.21,0.735,freeze,0.03725,-1.44,0.663,freeze
1991-01-10,regime,0.012391,-0.14,0.977,normal,0.035682,-1.24,0.729,freeze,0.037648,-1.41,0.67,freeze
1991-01-11,regime,0.011792,-0.42,0.929,normal,0.034149,-1.38,0.697,freeze,0.034881,-1.62,0.621,freeze
1991-01-14,regime,0.012069,-0.29,0.951,normal,0.038166,-1.01,0.779,freeze,0.040114,-1.22,0.714,freeze
1991-01-15,regime,0.012087,-0.28,0.953,normal,0.038165,-1.01,0.779,freeze,0.040121,-1.22,0.714,freeze
1991-01-16,regime,0.012212,-0.22,0.962,normal,0.039882,-0.85,0.814,normal,0.04126,-1.13,0.734,freeze
1991-01-17,regime,0.01771,2.37,1.396,riot,0.096059,4.39,1.961,riot,0.109373,4.03,1.946,riot
1991-01-18,regime,0.018316,2.65,1.444,riot,0.096445,4.43,1.969,riot,0.110235,4.1,1.961,riot
1991-01-21,regime,0.017928,2.47,1.413,riot,0.098606,4.63,2.013,riot,0.112298,4.25,1.998,riot
1991-01-22,regime,0.018141,2.57,1.43,riot,0.103923,5.13,2.122,riot,0.117929,4.68,2.098,riot
1991-01-23,regime,0.018269,2.63,1.44,riot,0.104061,5.14,2.125,riot,0.118195,4.7,2.103,riot
1991-01-24,regime,0.018386,2.69,1.449,riot,0.105008,5.23,2.144,riot,0.118767,4.75,2.113,riot
1991-01-25,regime,0.018334,2.66,1.445,riot,0.105898,5.31,2.162,riot,0.119512,4.8,2.126,riot
1991-01-28,regime,0.01793,2.47,1.413,riot,0.109162,5.62,2.229,riot,0.122817,5.05,2.185,riot
1991-01-29,regime,0.017937,2.48,1.414,riot,0.10904,5.6,2.226,riot,0.122927,5.06,2.187,riot
1991-01-30,regime,0.018178,2.59,1.433,riot,0.108357,5.54,2.212,riot,0.122696,5.04,2.183,riot
1991-01-31,regime,0.017936,2.48,1.414,riot,0.108879,5.59,2.223,riot,0.123052,5.07,2.189,riot
1991-02-01,regime,0.017673,2.35,1.393,riot,0.108736,5.58,2.22,riot,0.123038,5.07,2.189,riot
1991-02-04,regime,0.01556,1.35,1.226,normal,0.107028,5.42,2.185,riot,0.119783,4.82,2.131,riot
1991-02-05,regime,0.015345,1.25,1.209,normal,0.106981,5.41,2.184,riot,0.119643,4.81,2.129,riot
1991-02-06,regime,0.015472,1.31,1.219,normal,0.107425,5.45,2.193,riot,0.119431,4.8,2.125,riot
1991-02-07,regime,0.01596,1.54,1.258,normal,0.107424,5.45,2.193,riot,0.119486,4.8,2.126,riot
1991-02-08,regime,0.015869,1.5,1.251,normal,0.107664,5.48,2.198,riot,0.119673,4.81,2.129,riot
1991-02-11,regime,0.015497,1.33,1.221,normal,0.105781,5.3,2.16,riot,0.116432,4.57,2.072,riot
1991-02-12,regime,0.016359,1.73,1.289,normal,0.105812,5.3,2.16,riot,0.116757,4.59,2.077,riot
1991-02-13,regime,0.016347,1.73,1.288,normal,0.104545,5.18,2.135,riot,0.115417,4.49,2.053,riot
1991-02-14,regime,0.012999,0.15,1.024,normal,0.057961,0.84,1.183,normal,0.060761,0.35,1.081,normal
1991-02-15,regime,0.012595,-0.04,0.993,normal,0.05898,0.93,1.204,normal,0.060909,0.36,1.084,normal
1991-02-19,regime,0.012891,0.1,1.016,normal,0.056736,0.72,1.158,normal,0.057959,0.13,1.031,normal
1991-02-20,regime,0.01288,0.09,1.015,normal,0.046166,-0.26,0.943,normal,0.044962,-0.85,0.8,normal
1991-02-21,regime,0.012785,0.05,1.008,normal,0.04905,0.01,1.001,normal,0.0475,-0.66,0.845,normal
1991-02-22,regime,0.012909,0.1,1.017,normal,0.047205,-0.17,0.964,normal,0.045639,-0.8,0.812,normal
1991-02-25,regime,0.013017,0.15,1.026,normal,0.046121,-0.27,0.942,normal,0.044841,-0.86,0.798,normal
1991-02-26,regime,0.013546,0.4,1.068,normal,0.040002,-0.84,0.817,normal,0.040119,-1.22,0.714,freeze
1991-02-27,regime,0.013651,0.45,1.076,normal,0.040065,-0.83,0.818,normal,0.039301,-1.28,0.699,freeze
1991-02-28,regime,0.013349,0.31,1.052,normal,0.03996,-0.84,0.816,normal,0.038849,-1.32,0.691,freeze
1991-03-01,regime,0.013058,0.17,1.029,normal,0.03826,-1.0,0.781,normal,0.037882,-1.39,0.674,freeze
1991-03-04,regime,0.013082,0.19,1.031,normal,0.039962,-0.84,0.816,normal,0.039854,-1.24,0.709,freeze
1991-03-05,regime,0.012915,0.11,1.018,normal,0.040004,-0.84,0.817,normal,0.039743,-1.25,0.707,freeze
1991-03-06,regime,0.012658,-0.01,0.998,normal,0.040417,-0.8,0.825,normal,0.039767,-1.25,0.708,freeze
1991-03-07,regime,0.011311,-0.65,0.891,normal,0.039052,-0.93,0.797,normal,0.039531,-1.26,0.703,freeze
