ticker,trigger_date,case,coil_days,pivot_date,pivot_close,pivot_vol,dry_last_ratio,dry_mean_ratio,max_daily_amp,pullback,notes
RES,2026-04-30,V2(C=5),5,2026-04-23,7.65470552444458,4002000.0,0.38220889555222387,0.46894052973513245,0.05974,0.01688,coil2.21% dry_last38%
SGMT,2026-04-29,V2(C=2),2,2026-04-27,8.119999885559082,49407800.0,0.032171033723420187,0.06936556576087176,0.11453,0.02094,coil1.85% dry_last3%
BIVI,2026-04-29,V2(C=2),2,2026-04-27,1.590000033378601,128300.0,0.16991426344505067,0.3441153546375682,0.08679,0.02516,coil0.00% dry_last17%
RDCM,2026-04-29,V2(C=4),4,2026-04-23,15.380000114440918,1264400.0,0.17162290414425815,0.26832885162923126,0.04991,0.0,coil3.32% dry_last17%
KGEI,2026-04-29,V2(C=3),3,2026-04-24,5.46999979019165,1146600.0,0.2150706436420722,0.22943194371765802,0.06399,0.00366,coil3.66% dry_last22%
HRTX,2026-04-29,V2(C=3),3,2026-04-24,1.190000057220459,6080700.0,0.2173433979640502,0.4004911715208227,0.08403,0.02521,coil1.68% dry_last22%
BANR,2026-04-29,V2(C=4),4,2026-04-23,67.2161636352539,617300.0,0.2833306334035315,0.32804147092175606,0.02715,0.02671,coil1.86% dry_last28%
HLX,2026-04-29,V2(C=4),4,2026-04-23,9.699999809265137,6154000.0,0.33794280142996425,0.48671189470263243,0.04955,0.01856,coil2.16% dry_last34%
KRO,2026-04-29,V2(C=4),4,2026-04-23,6.840000152587891,578800.0,0.3412232204561161,0.5080338631651693,0.05702,-0.00292,coil2.34% dry_last34%
GSM,2026-04-29,V2(C=3),3,2026-04-24,4.53000020980835,1850300.0,0.36804842457979786,0.4961537768650129,0.05579,0.02428,coil3.75% dry_last37%
RES,2026-04-29,V2(C=4),4,2026-04-23,7.65470552444458,4002000.0,0.37023988005997,0.4906234382808596,0.05974,0.01688,coil2.21% dry_last37%
PANL,2026-04-29,V2(C=2),2,2026-04-27,7.559999942779541,764100.0,0.3992932862190813,0.4072110980238189,0.0295,0.01164,coil1.19% dry_last40%
